t_ms,theta_deg,theta_dot_dps,x_m,x_dot_ms,u_pwm,setpoint_deg,modo
212.0,-0.45,-5.4,0.0033,0.024,-37.0,0.05,0.0
232.0,-0.51,26.7,0.0037,0.012,17.0,0.05,0.0
252.0,-0.01,12.7,0.0039,0.0,22.0,0.05,0.0
272.0,0.13,-1.8,0.0037,-0.012,4.0,0.05,0.0
292.0,0.03,-2.9,0.0035,-0.012,-3.0,0.05,0.0
312.0,0.05,3.1,0.0032,-0.012,8.0,0.05,0.0
332.0,0.1,3.4,0.0031,-0.012,12.0,0.05,0.0
352.0,0.26,-0.1,0.0029,-0.012,15.0,0.05,0.0
372.0,0.22,-10.6,0.0025,-0.012,-5.0,0.05,0.0
392.0,0.04,-8.0,0.0024,0.0,-11.0,0.05,0.0
412.0,-0.02,-1.0,0.0024,0.0,-3.0,0.05,0.0
432.0,-0.0,-3.1,0.0025,0.0,-5.0,0.05,0.0
452.0,-0.06,-4.5,0.0027,0.012,-11.0,0.05,0.0
472.0,-0.16,-5.0,0.0029,0.012,-18.0,0.05,0.0
492.0,-0.28,-4.6,0.0032,0.024,-25.0,0.05,0.0
512.0,-0.4,8.1,0.0036,0.012,-9.0,0.05,0.0
532.0,-0.12,12.0,0.0039,0.012,14.0,0.05,0.0
552.0,-0.06,-6.1,0.0039,0.0,-14.0,0.05,0.0
572.0,-0.21,0.7,0.0039,0.0,-11.0,0.05,0.0
592.0,-0.14,11.1,0.0042,0.012,11.0,0.05,0.0
612.0,-0.02,-2.0,0.0042,0.0,-4.0,0.05,0.0
632.0,-0.08,0.9,0.0042,0.0,-3.0,0.05,0.0
652.0,-0.05,7.5,0.0042,0.0,10.0,0.05,0.0
672.0,0.05,0.1,0.0041,-0.012,3.0,0.05,0.0
692.0,0.03,2.5,0.0039,-0.012,6.0,0.05,0.0
712.0,0.11,5.0,0.0038,0.0,15.0,0.05,0.0
732.0,0.2,3.4,0.0035,-0.012,17.0,0.05,0.0
752.0,0.3,-1.6,0.0031,-0.012,15.0,0.05,0.0
772.0,0.16,-14.8,0.0026,-0.024,-17.0,0.05,0.0
792.0,-0.08,-5.2,0.0025,0.0,-14.0,0.05,0.0
812.0,-0.11,2.1,0.0025,0.0,-3.0,0.05,0.0
832.0,-0.03,-1.8,0.0026,0.0,-5.0,0.05,0.0
852.0,-0.03,-2.6,0.0029,0.012,-6.0,0.05,0.0
872.0,-0.06,-4.4,0.003,0.012,-11.0,0.05,0.0
892.0,-0.12,-5.0,0.0032,0.012,-15.0,0.05,0.0
912.0,-0.3,-2.1,0.0036,0.024,-21.0,0.05,0.0
932.0,-0.14,12.6,0.0038,0.012,14.0,0.05,0.0
952.0,-0.03,-7.2,0.0039,0.0,-14.0,0.05,0.0
972.0,-0.33,-8.2,0.0039,0.0,-34.0,0.05,0.0
992.0,-0.33,11.9,0.0042,0.012,1.0,0.05,0.0
1012.0,-0.16,0.0,0.0044,0.012,-9.0,0.05,0.0
1032.0,-0.25,2.5,0.0045,0.012,-10.0,0.05,0.0
1052.0,-0.14,8.1,0.0047,0.012,5.0,0.05,0.0
1072.0,-0.11,-4.2,0.0047,0.0,-14.0,0.05,0.0
1092.0,-0.18,7.2,0.0048,0.012,1.0,0.05,0.0
1112.0,-0.01,4.6,0.0048,0.0,7.0,0.05,0.0
1132.0,-0.03,-2.8,0.0047,-0.012,-6.0,0.05,0.0
1152.0,-0.04,7.6,0.0047,0.0,11.0,0.05,0.0
1172.0,0.13,3.3,0.0045,-0.012,14.0,0.05,0.0
1192.0,0.19,1.3,0.0043,-0.012,13.0,0.05,0.0
1212.0,0.23,3.0,0.0041,-0.012,19.0,0.05,0.0
1232.0,0.29,3.0,0.0036,-0.024,23.0,0.05,0.0
1252.0,0.45,-11.4,0.0031,-0.024,6.0,0.05,0.0
1272.0,-0.07,-21.5,0.0027,-0.012,-42.0,0.05,0.0
1292.0,-0.26,-5.8,0.0029,0.012,-26.0,0.05,0.0
1312.0,-0.26,2.4,0.0031,0.012,-11.0,0.05,0.0
1332.0,-0.1,-0.3,0.0033,0.012,-6.0,0.05,0.0
1352.0,-0.2,5.5,0.0037,0.012,-2.0,0.05,0.0
1372.0,0.04,3.5,0.0039,0.0,8.0,0.05,0.0
1392.0,-0.02,-7.7,0.0041,0.0,-15.0,0.05,0.0
1412.0,-0.18,-2.9,0.0041,0.0,-16.0,0.05,0.0
1432.0,-0.2,4.8,0.0043,0.012,-3.0,0.05,0.0
1452.0,-0.19,0.2,0.0044,0.012,-10.0,0.05,0.0
1472.0,-0.22,4.9,0.0045,0.012,-4.0,0.05,0.0
1492.0,-0.16,4.3,0.0047,0.012,-2.0,0.05,0.0
1512.0,-0.13,3.0,0.0048,0.0,-2.0,0.05,0.0
1532.0,-0.11,1.6,0.0048,0.0,-3.0,0.05,0.0
1552.0,-0.08,5.7,0.0048,0.0,5.0,0.05,0.0
1572.0,0.0,0.7,0.0048,0.0,1.0,0.05,0.0
1592.0,0.05,2.4,0.0047,0.0,7.0,0.05,0.0
1612.0,0.09,4.4,0.0045,-0.012,13.0,0.05,0.0
1632.0,0.2,4.1,0.0043,-0.012,19.0,0.05,0.0
1652.0,0.29,2.9,0.0039,-0.024,22.0,0.05,0.0
1672.0,0.37,-4.9,0.0035,-0.024,13.0,0.05,0.0
1692.0,0.13,-22.4,0.0031,-0.012,-32.0,0.05,0.0
1712.0,-0.11,-7.3,0.0031,0.012,-19.0,0.05,0.0
1732.0,-0.21,1.4,0.0032,0.0,-10.0,0.05,0.0
1752.0,-0.06,0.4,0.0036,0.024,-3.0,0.05,0.0
1772.0,-0.05,0.6,0.0038,0.012,-1.0,0.05,0.0
1792.0,-0.02,-1.3,0.0039,0.0,-3.0,0.05,0.0
1812.0,-0.06,-3.4,0.0042,0.012,-9.0,0.05,0.0
1832.0,-0.08,1.5,0.0043,0.012,-1.0,0.05,0.0
1852.0,-0.07,-5.7,0.0044,0.012,-14.0,0.05,0.0
1872.0,-0.22,-1.2,0.0045,0.0,-15.0,0.05,0.0
1892.0,-0.19,1.9,0.0048,0.012,-8.0,0.05,0.0
1912.0,-0.23,-1.3,0.0049,0.012,-15.0,0.05,0.0
1932.0,-0.23,3.4,0.0051,0.012,-8.0,0.05,0.0
1952.0,-0.18,1.7,0.0054,0.012,-8.0,0.05,0.0
1972.0,-0.21,1.8,0.0056,0.012,-9.0,0.05,0.0
1992.0,-0.18,3.3,0.0057,0.012,-5.0,0.05,0.0
2012.0,-0.16,1.9,0.006,0.012,-6.0,0.05,0.0
2032.0,-0.15,3.4,0.0061,0.012,-2.0,0.05,0.0
2052.0,-0.1,1.6,0.0062,0.012,-3.0,0.05,0.0
2072.0,-0.12,-0.7,0.0062,0.0,-8.0,0.05,0.0
2092.0,-0.12,2.8,0.0062,0.0,-2.0,0.05,0.0
2112.0,-0.1,0.2,0.0063,0.0,-5.0,0.05,0.0
2132.0,-0.12,2.6,0.0063,0.0,-2.0,0.05,0.0
2152.0,-0.07,2.5,0.0063,0.0,0.0,0.05,0.0
2172.0,-0.06,2.0,0.0063,0.0,0.0,0.05,0.0
2192.0,-0.01,3.9,0.0063,0.0,6.0,0.05,0.0
2212.0,0.04,0.8,0.0062,0.0,3.0,0.05,0.0
2232.0,0.04,1.7,0.006,-0.012,5.0,0.05,0.0
2252.0,0.1,3.3,0.0057,-0.012,12.0,0.05,0.0
2272.0,0.15,3.0,0.0055,-0.024,14.0,0.05,0.0
2292.0,0.26,-1.1,0.0051,-0.024,13.0,0.05,0.0
2312.0,0.16,-6.2,0.0048,-0.012,-1.0,0.05,0.0
2332.0,0.17,-4.0,0.0044,-0.012,2.0,0.05,0.0
2352.0,0.05,-8.0,0.0041,-0.012,-11.0,0.05,0.0
2372.0,-0.09,-0.8,0.0041,0.0,-6.0,0.05,0.0
2392.0,-0.03,4.6,0.0041,0.0,6.0,0.05,0.0
2412.0,0.08,-0.5,0.0042,0.0,3.0,0.05,0.0
2432.0,0.09,0.4,0.0041,-0.012,6.0,0.05,0.0
2452.0,0.17,-1.2,0.0039,-0.012,7.0,0.05,0.0
2472.0,0.09,-10.7,0.0038,-0.012,-13.0,0.05,0.0
2492.0,-0.09,-3.4,0.0037,0.0,-11.0,0.05,0.0
2512.0,-0.12,-1.1,0.0039,0.012,-9.0,0.05,0.0
2532.0,-0.15,-6.3,0.0042,0.024,-20.0,0.05,0.0
2552.0,-0.25,-4.5,0.0044,0.012,-23.0,0.05,0.0
2572.0,-0.34,-4.4,0.0048,0.024,-28.0,0.05,0.0
2592.0,-0.34,13.2,0.0053,0.024,3.0,0.05,0.0
2612.0,-0.11,1.3,0.0055,0.012,-4.0,0.05,0.0
2632.0,-0.18,-11.8,0.0055,0.0,-32.0,0.05,0.0
2652.0,-0.4,3.4,0.0057,0.012,-17.0,0.05,0.0
2672.0,-0.18,8.5,0.0061,0.012,4.0,0.05,0.0
2692.0,-0.08,-9.3,0.0061,0.0,-21.0,0.05,0.0
2712.0,-0.38,-1.7,0.0062,0.0,-26.0,0.05,0.0
2732.0,-0.25,9.3,0.0065,0.012,1.0,0.05,0.0
2752.0,-0.2,-4.5,0.0067,0.012,-20.0,0.05,0.0
2772.0,-0.32,7.7,0.0068,0.012,-5.0,0.05,0.0
2792.0,-0.14,4.8,0.0069,0.0,0.0,0.05,0.0
2812.0,-0.19,-1.5,0.0071,0.0,-14.0,0.05,0.0
2832.0,-0.17,7.8,0.0072,0.012,3.0,0.05,0.0
2852.0,-0.08,-0.8,0.0072,0.0,-6.0,0.05,0.0
2872.0,-0.17,3.2,0.0072,0.0,-4.0,0.05,0.0
2892.0,-0.02,7.3,0.0073,0.0,12.0,0.05,0.0
2912.0,-0.01,-3.0,0.0072,0.0,-5.0,0.05,0.0
2932.0,-0.06,5.9,0.0072,0.0,7.0,0.05,0.0
2952.0,0.14,6.8,0.0071,-0.012,20.0,0.05,0.0
2972.0,0.19,2.6,0.0068,-0.012,16.0,0.05,0.0
2992.0,0.24,4.4,0.0065,-0.012,22.0,0.05,0.0
3012.0,0.33,6.2,0.0061,-0.012,31.0,0.05,0.0
3032.0,0.4,-14.9,0.0055,-0.024,-2.0,0.05,0.0
3052.0,0.09,-18.4,0.005,-0.012,-27.0,0.05,0.0
3072.0,-0.13,-7.1,0.005,0.012,-20.0,0.05,0.0
3092.0,-0.16,5.2,0.0051,0.012,0.0,0.05,0.0
3112.0,0.16,10.4,0.0053,0.0,28.0,0.05,0.0
3132.0,0.27,-0.2,0.0051,0.0,16.0,0.05,0.0
3152.0,0.31,-0.0,0.0048,-0.012,18.0,0.05,0.0
3172.0,0.33,-1.1,0.0044,-0.012,18.0,0.05,0.0
3192.0,0.41,-18.3,0.0039,-0.024,-8.0,0.05,0.0
3212.0,-0.12,-18.0,0.0037,0.0,-39.0,0.05,0.0
3232.0,-0.34,-7.2,0.0038,0.012,-33.0,0.05,0.0
3252.0,-0.37,-3.3,0.0042,0.024,-28.0,0.05,0.0
3272.0,-0.51,-5.7,0.0047,0.024,-41.0,0.05,0.0
3292.0,-0.31,22.5,0.0051,0.024,21.0,0.05,0.0
3312.0,0.04,0.7,0.0055,0.012,3.0,0.05,0.0
3332.0,-0.03,-13.3,0.0055,0.0,-25.0,0.05,0.0
3352.0,-0.38,-16.1,0.0056,0.012,-51.0,0.05,0.0
3372.0,-0.82,-0.3,0.0061,0.024,-50.0,0.05,0.0
3392.0,-0.53,19.1,0.0067,0.036,2.0,0.05,0.0
3412.0,-0.25,5.1,0.0072,0.024,-5.0,0.05,0.0
3432.0,-0.35,-1.9,0.0076,0.024,-24.0,0.05,0.0
3452.0,-0.23,11.5,0.008,0.012,6.0,0.05,0.0
3472.0,-0.08,-0.9,0.0084,0.012,-6.0,0.05,0.0
