t_ms,gy_dps,ang_acc_deg
4.0,-31.0992,175.6973
14.0,-24.0916,175.4368
24.0,-16.9771,175.2718
34.0,-9.687,175.1111
44.0,-2.5573,175.4306
54.0,4.8931,175.3509
64.0,12.0305,175.571
74.0,19.2443,175.5832
84.0,26.1832,175.8843
94.0,33.229,176.2969
104.0,39.8015,176.0729
114.0,46.2595,176.185
124.0,52.2366,175.7181
134.0,57.8015,176.4493
144.0,63.2443,176.5807
154.0,68.0305,176.4374
164.0,73.1298,176.5412
174.0,77.2137,176.5947
184.0,80.2901,177.0298
194.0,83.5802,177.2165
204.0,86.8473,176.9808
214.0,89.0458,176.7783
224.0,90.5191,176.783
234.0,92.1145,177.0264
244.0,92.5573,176.7971
254.0,92.9008,177.4749
264.0,92.8779,177.2625
274.0,91.9008,177.082
284.0,90.374,177.1097
294.0,88.8779,177.1622
304.0,86.4427,176.9929
314.0,83.3817,177.4178
324.0,80.3969,177.1007
334.0,76.6412,177.0948
344.0,72.3817,177.0371
354.0,67.8015,177.1729
364.0,62.5649,177.3044
374.0,57.687,177.4707
384.0,52.0687,177.5974
394.0,46.0305,177.5672
404.0,39.7405,177.4496
414.0,33.5267,177.2567
424.0,26.7481,177.5484
434.0,20.084,176.8081
444.0,13.7405,177.3961
454.0,6.771,177.2966
464.0,0.0534,177.019
474.0,-6.7863,177.0892
484.0,-13.3206,177.3021
494.0,-20.1145,176.9025
504.0,-26.626,176.9187
514.0,-33.2748,177.0131
524.0,-39.7863,177.0374
534.0,-45.4122,176.8078
544.0,-51.1069,176.9362
554.0,-56.6565,177.0845
564.0,-61.4351,177.0335
574.0,-64.9008,177.0563
584.0,-69.3817,176.4619
594.0,-73.3969,176.227
604.0,-76.2137,176.3051
614.0,-79.1298,176.2547
624.0,-81.6107,176.5082
634.0,-83.8473,176.37
644.0,-84.9466,176.3331
654.0,-85.9313,176.1975
664.0,-86.3664,176.218
674.0,-86.4046,176.4051
684.0,-86.1145,176.3908
694.0,-85.2214,176.2142
704.0,-83.5191,176.2849
714.0,-81.6336,176.2749
724.0,-79.2748,176.1447
734.0,-76.4122,176.1966
744.0,-73.0076,175.9028
754.0,-69.3588,175.8118
764.0,-65.1832,176.2967
774.0,-60.9618,175.8878
784.0,-56.1908,175.8114
