t_ms,pwm,enc_izq,enc_der
25974.0,85.0,12204.0,10977.0
25984.0,85.0,12216.0,10989.0
25994.0,85.0,12229.0,11001.0
26004.0,85.0,12242.0,11013.0
26014.0,85.0,12255.0,11026.0
26024.0,85.0,12267.0,11038.0
26034.0,85.0,12280.0,11050.0
26044.0,85.0,12293.0,11063.0
26054.0,85.0,12306.0,11075.0
26064.0,85.0,12319.0,11087.0
26074.0,85.0,12332.0,11099.0
26084.0,85.0,12344.0,11112.0
26094.0,85.0,12357.0,11124.0
26104.0,85.0,12370.0,11136.0
26114.0,85.0,12383.0,11149.0
26124.0,85.0,12396.0,11161.0
26134.0,85.0,12409.0,11173.0
26144.0,85.0,12421.0,11185.0
26154.0,85.0,12434.0,11198.0
26164.0,85.0,12447.0,11210.0
26174.0,85.0,12460.0,11222.0
26184.0,85.0,12473.0,11235.0
26194.0,85.0,12485.0,11247.0
26204.0,85.0,12498.0,11259.0
26214.0,85.0,12511.0,11271.0
26224.0,85.0,12524.0,11284.0
26234.0,85.0,12537.0,11296.0
26244.0,85.0,12549.0,11308.0
26254.0,85.0,12562.0,11320.0
26264.0,85.0,12575.0,11333.0
26274.0,85.0,12588.0,11345.0
26284.0,85.0,12601.0,11357.0
26294.0,85.0,12614.0,11369.0
26304.0,85.0,12626.0,11382.0
26314.0,85.0,12639.0,11394.0
26324.0,85.0,12652.0,11406.0
26334.0,85.0,12665.0,11419.0
26344.0,85.0,12678.0,11431.0
26354.0,85.0,12690.0,11443.0
26364.0,85.0,12703.0,11455.0
26374.0,85.0,12716.0,11468.0
26384.0,85.0,12729.0,11480.0
26394.0,85.0,12742.0,11492.0
26404.0,85.0,12754.0,11504.0
26414.0,85.0,12767.0,11517.0
26424.0,85.0,12780.0,11529.0
26434.0,85.0,12793.0,11541.0
26444.0,85.0,12805.0,11553.0
26454.0,85.0,12818.0,11566.0
26464.0,85.0,12831.0,11578.0
26474.0,85.0,12844.0,11590.0
26484.0,85.0,12857.0,11602.0
26494.0,85.0,12869.0,11615.0
26504.0,85.0,12882.0,11627.0
26514.0,85.0,12895.0,11639.0
26524.0,85.0,12908.0,11651.0
26534.0,85.0,12921.0,11664.0
26544.0,85.0,12933.0,11676.0
26554.0,85.0,12946.0,11688.0
26564.0,85.0,12959.0,11700.0
26574.0,85.0,12972.0,11713.0
26584.0,85.0,12985.0,11725.0
26594.0,85.0,12997.0,11737.0
26604.0,85.0,13010.0,11749.0
26614.0,85.0,13023.0,11762.0
26624.0,85.0,13036.0,11774.0
26634.0,85.0,13048.0,11786.0
26644.0,85.0,13061.0,11798.0
26654.0,85.0,13074.0,11811.0
26664.0,85.0,13087.0,11823.0
26674.0,85.0,13099.0,11835.0
26684.0,85.0,13112.0,11847.0
26694.0,85.0,13125.0,11860.0
26704.0,85.0,13138.0,11872.0
26714.0,85.0,13151.0,11884.0
26724.0,85.0,13164.0,11896.0
26734.0,85.0,13176.0,11908.0
26744.0,85.0,13189.0,11921.0
26754.0,85.0,13202.0,11933.0
26764.0,85.0,13215.0,11945.0
26774.0,85.0,13227.0,11957.0
26784.0,85.0,13240.0,11970.0
26794.0,85.0,13253.0,11982.0
26804.0,85.0,13266.0,11994.0
26814.0,85.0,13279.0,12006.0
26824.0,85.0,13292.0,12019.0
26834.0,85.0,13304.0,12031.0
26844.0,85.0,13317.0,12043.0
26854.0,85.0,13330.0,12055.0
26864.0,85.0,13343.0,12068.0
26874.0,85.0,13355.0,12080.0
26884.0,85.0,13368.0,12092.0
26894.0,85.0,13381.0,12104.0
26904.0,85.0,13394.0,12117.0
26914.0,85.0,13407.0,12129.0
26924.0,85.0,13420.0,12141.0
26934.0,85.0,13432.0,12153.0
26944.0,85.0,13445.0,12166.0
26954.0,85.0,13458.0,12178.0
26964.0,85.0,13471.0,12190.0
26974.0,85.0,13484.0,12202.0
26984.0,85.0,13496.0,12214.0
26994.0,85.0,13509.0,12227.0
27004.0,90.0,13522.0,12239.0
27014.0,90.0,13535.0,12251.0
27024.0,90.0,13548.0,12264.0
27034.0,90.0,13561.0,12276.0
27044.0,90.0,13574.0,12289.0
27054.0,90.0,13587.0,12301.0
27064.0,90.0,13601.0,12314.0
27074.0,90.0,13614.0,12327.0
27084.0,90.0,13627.0,12340.0
27094.0,90.0,13641.0,12353.0
